"Qual é a sua altura em centímetros?
";"Qual é o número de sapato que você calça?
";"Qual o mês do seu aniversário?
";"Quantos irmãos você tem?
";"Quantos livros você leu ano passado?
";"Das cores abaixo qual é a sua favorita (ou a cor que mais gosta se sua cor favorita mesmo não estiver na lista)?
";"Qual a sua opinião sobre azeitona?
";"Qual destas linhas de estudo é a que você tem mais afinidade?
";"Qual destas linhas de estudo é a que você tem menos afinidade?
";"Cachorros ou gatos?
"
174;42;10;18;3;Preto;Desgosto muito;Ciências da matéria;Ciências da vida;Cachorros!
17;41;8;0;14;Verde;Gosto muito;Ciências humanas;Ciências da vida;Gatos!
173;39;5;2;;Amarelo;Desgosto muito;Ciências da vida;Ciências da matéria;Gatos!
182;40;5;3;5;Rosa;Gosto muito;Ciências humanas;Ciências da vida;Gatos!
1545;34;11;0;4;Preto;Desgosto muito;Ciências da matéria;Ciências da vida;Gatos!
169;37;10;1;10;Preto;Gosto muito;Ciências da matéria;Ciências da vida;Cachorros!
162;39;9;0;20;Roxo;Gosto pouco;Ciências da vida;Ciências da matéria;Cachorros!
161;36;5;0;7;Azul;Desgosto muito;Ciências da matéria;Ciências da vida;Cachorros!
188;44;11;6;7;Cinza;Gosto muito;Ciências da matéria;Ciências humanas;Gatos!
152;32;7;1;3;Verde;Gosto pouco;Ciências da vida;Ciências da matéria;Gatos!
160;35;5;1;34;Amarelo;Gosto pouco;Ciências da matéria;Ciências da vida;Gatos!
180;40;11;1;5;Azul;Gosto pouco;Ciências da matéria;Ciências humanas;Cachorros!
153;35;5;2;7;Rosa;Desgosto muito;Ciências da vida;Ciências humanas;Cachorros!
155;35;2;0;8;Verde;Gosto pouco;Ciências da matéria;Ciências da vida;Gatos!
170;42;3;0;7;Azul;Gosto muito;Ciências humanas;Ciências da vida;Cachorros!
1.71;41;5;2;5;Cinza;Gosto muito;Ciências da vida;Ciências da matéria;Cachorros!
170;40;1;1;0;Preto;Desgosto pouco;Ciências da matéria;Ciências humanas;Cachorros!
191;47;11;1;15;Roxo;Gosto muito;Ciências da matéria;Ciências humanas;Cachorros!
169;39;9;2;8;Amarelo;Não gosto nem desgosto;Ciências da vida;Ciências humanas;Gatos!
176;40;10;0;5;Azul;Gosto muito;Ciências da matéria;Ciências da vida;Cachorros!
175;40;8;1;10;Preto;Gosto pouco;Ciências da matéria;Ciências da vida;Cachorros!
170;40;5;3;2;Verde;Gosto pouco;Ciências da matéria;Ciências humanas;Gatos!
161;39;6;1;2;Vermelho;Gosto pouco;Ciências da matéria;Ciências humanas;Cachorros!
184;44;2;1;13;Azul;Gosto muito;Ciências da vida;Ciências humanas;Cachorros!
175;42;1;4;5;Azul;Gosto muito;Ciências da matéria;Ciências da vida;Gatos!
176;41;6;1;32;Verde;Gosto pouco;Ciências da vida;Ciências humanas;Gatos!
169;42;12;0;0;Preto;Desgosto muito;Ciências da matéria;Ciências humanas;Cachorros!
170;40;5;3;4;Preto;Gosto muito;Ciências da vida;Ciências humanas;Gatos!
170;38;7;4;1;Verde;Desgosto muito;Ciências da vida;Ciências da matéria;Cachorros!
171;42;3;3;2;Azul;Gosto pouco;Ciências da matéria;Ciências da vida;Gatos!
175;41;12;1;30;Preto;Desgosto muito;Ciências da matéria;Ciências da vida;Cachorros!
